Sort 1,,,,,,,,,,
Sort 1,14,64,,Data Size,Average Exchanges,,Shell Sort,Shell Sort,Quick Sort,Insertion Sort
,3063,2310140,,,,,,,,
,3078,2366191,,,,,,,,
,3081,2408887,,,,,,,,
,3085,2372703,,,,,,,,
,3087,2269589,,,,,,,,
,3089,2361009,,,,,,,,
,3118,2401534,,,,,,,,
,3137,2417034,,,,,,,,
,3150,2515215,,,,,,,,
,3150,2455938,,,,,,,,
,3168,2496001,,,,,,,,
,3169,2581989,,,,,,,,
,3173,2498690,,,,,,,,
,3193,2477080,,,,,,,,
,3202,2535601,,,,,,,,
,3219,2586644,,,,,,,,
,3222,2549738,,,,,,,,
,3240,2563471,,,,,,,,
,3244,2567509,,,,,,,,
,3250,2641069,,,,,,,,
,3258,2585436,,,,,,,,
,3269,2655986,,,,,,,,
,3273,2661911,,,,,,,,
,3300,2626671,,,,,,,,
,3304,2721857,,,,,,,,
,3322,2694129,,,,,,,,
,3334,2749786,,,,,,,,
,3337,2761925,,,,,,,,
,3338,2730306,,,,,,,,
,3344,2758951,,,,,,,,
,3359,2797642,,,,,,,,
,3361,2780897,,,,,,,,
,3384,2801506,,,,,,,,
,3401,2863802,,,,,,,,
,3403,2857965,,,,,,,,
,3405,2862646,,,,,,,,
,3429,2898929,,,,,,,,
,3438,2910910,,,,,,,,
,3444,2926319,,,,,,,,
,3447,2935600,,,,,,,,
,3448,2973931,,,,,,,,
,3451,2956328,,,,,,,,
,3454,2940086,,,,,,,,
,3458,3005412,,,,,,,,
,3467,3010983,,,,,,,,
,3480,3032599,,,,,,,,
,3497,2982385,,,,,,,,
,3497,3017053,,,,,,,,
,3505,3092676,,,,,,,,
,3513,3059364,,,,,,,,
,3536,3122293,,,,,,,,
,3540,3127826,,,,,,,,
,3558,3125012,,,,,,,,
,3564,3166928,,,,,,,,
,3601,3155276,,,,,,,,
,3618,3207377,,,,,,,,
,3621,3299999,,,,,,,,
,3636,3298416,,,,,,,,
,3638,3214269,,,,,,,,
,3645,3251012,,,,,,,,
,3645,3267114,,,,,,,,
,3647,3330512,,,,,,,,
,3655,3278265,,,,,,,,
,3658,3254525,,,,,,,,
,3674,3396012,,,,,,,,
,3684,3327366,,,,,,,,
,3687,3386726,,,,,,,,
,3693,3325279,,,,,,,,
,3699,3408449,,,,,,,,
,3708,3454951,,,,,,,,
,3726,3406549,,,,,,,,
,3731,3430758,,,,,,,,
,3744,3575030,,,,,,,,
,3751,3468693,,,,,,,,
,3762,3458442,,,,,,,,
,3765,3487780,,,,,,,,
,3770,3477456,,,,,,,,
,3776,3561220,,,,,,,,
,3789,3569771,,,,,,,,
,3794,3619129,,,,,,,,
,3797,3554695,,,,,,,,
,3804,3526997,,,,,,,,
,3822,3617823,,,,,,,,
,3823,3620971,,,,,,,,
,3845,3729243,,,,,,,,
,3849,3735175,,,,,,,,
,3859,3734219,,,,,,,,
,3869,3711731,,,,,,,,
,3917,3764390,,,,,,,,
,3917,3809065,,,,,,,,
,3923,3736188,,,,,,,,
,3932,3814877,,,,,,,,
,3989,3850210,,,,,,,,
,4009,3951949,,,,,,,,
,4027,3995322,,,,,,,,
,4027,3943585,,,,,,,,
,4035,4037982,,,,,,,,
,4057,4037831,,,,,,,,
,4076,4123559,,,,,,,,
,4101,4123488,,,,,,,,
,4104,4170394,,,,,,,,
,4107,4257243,,,,,,,,
,4112,4125454,,,,,,,,
,4118,4192451,,,,,,,,
,4122,4229077,,,,,,,,
,4127,4245348,,,,,,,,
,4132,4249680,,,,,,,,
,4139,4234616,,,,,,,,
,4158,4332080,,,,,,,,
,4162,4265107,,,,,,,,
,4166,4309774,,,,,,,,
,4185,4341811,,,,,,,,
,4204,4322667,,,,,,,,
,4212,4405590,,,,,,,,
,4228,4528149,,,,,,,,
,4235,4494783,,,,,,,,
,4240,4416841,,,,,,,,
,4241,4517787,,,,,,,,
,4245,4449977,,,,,,,,
,4265,4529602,,,,,,,,
,4270,4496551,,,,,,,,
,4279,4478357,,,,,,,,
,4283,4550341,,,,,,,,
,4298,4573932,,,,,,,,
,4299,4532734,,,,,,,,
,4303,4613142,,,,,,,,
,4305,4612451,,,,,,,,
,4319,4569304,,,,,,,,
,4321,4697335,,,,,,,,
,4329,4724727,,,,,,,,
,4344,4730931,,,,,,,,
,4350,4718979,,,,,,,,
,4355,4831970,,,,,,,,
,4359,4768558,,,,,,,,
,4360,4670060,,,,,,,,
,4364,4744599,,,,,,,,
,4371,4736166,,,,,,,,
,4373,4690265,,,,,,,,
,4376,4725468,,,,,,,,
,4377,4758545,,,,,,,,
,4381,4778060,,,,,,,,
,4385,4791206,,,,,,,,
,4404,4799022,,,,,,,,
,4404,4883987,,,,,,,,
,4411,4791932,,,,,,,,
,4420,4864186,,,,,,,,
,4422,4860890,,,,,,,,
,4425,4781639,,,,,,,,
,4469,4952070,,,,,,,,
,4483,4981959,,,,,,,,
,4491,5012182,,,,,,,,
,4492,5017183,,,,,,,,
,4516,5001569,,,,,,,,
,4547,5004707,,,,,,,,
,4567,5149232,,,,,,,,
,4568,5150586,,,,,,,,
,4596,5142718,,,,,,,,
,4596,5270025,,,,,,,,
,4598,5250853,,,,,,,,
,4611,5251803,,,,,,,,
,4629,5283736,,,,,,,,
,4631,5300981,,,,,,,,
,4635,5273822,,,,,,,,
,4647,5359289,,,,,,,,
,4648,5364218,,,,,,,,
,4656,5320520,,,,,,,,
,4658,5402094,,,,,,,,
,4667,5385968,,,,,,,,
,4688,5413966,,,,,,,,
,4689,5475611,,,,,,,,
,4692,5407055,,,,,,,,
,4698,5453868,,,,,,,,
,4710,5460289,,,,,,,,
,4711,5526845,,,,,,,,
,4731,5542653,,,,,,,,
,4735,5538339,,,,,,,,
,4750,5555730,,,,,,,,
,4750,5628476,,,,,,,,
,4753,5652602,,,,,,,,
,4767,5630266,,,,,,,,
,4769,5571393,,,,,,,,
,4814,5760145,,,,,,,,
,4825,5721326,,,,,,,,
,4826,5786805,,,,,,,,
,4834,5733289,,,,,,,,
,4837,5812061,,,,,,,,
,4853,5796965,,,,,,,,
,4862,5860169,,,,,,,,
,4865,5851923,,,,,,,,
,4871,5878509,,,,,,,,
,4876,5882580,,,,,,,,
,4878,5875145,,,,,,,,
,4878,5938168,,,,,,,,
,4882,5898243,,,,,,,,
,4899,5853768,,,,,,,,
,4909,5992315,,,,,,,,
,4910,6056914,,,,,,,,
,4924,5973918,,,,,,,,
,4943,6061704,,,,,,,,
,4944,5965490,,,,,,,,
