Sort 1,,,,,,,,Data Size,Average Comparisons,,,,Shell Sort,Quick Sort,Insertion Sort
,3355,85098,,,,,,,,,,,,,
,3366,82492,,,,,,,,,,,,,
,3379,82528,,,,,,,,,,,,,
,3426,86730,,,,,,,,,,,,,
,3427,87415,,,,,,,,,,,,,
,3435,86399,,,,,,,,,,,,,
,3440,89303,,,,,,,,,,,,,
,3446,90436,,,,,,,,,,,,,
,3450,90944,,,,,,,,,,,,,
,3454,88829,,,,,,,,,,,,,
,3461,90929,,,,,,,,,,,,,
,3462,87533,,,,,,,,,,,,,
,3462,84255,,,,,,,,,,,,,
,3467,88433,,,,,,,,,,,,,
,3476,90781,,,,,,,,,,,,,
,3493,88762,,,,,,,,,,,,,
,3524,94435,,,,,,,,,,,,,
,3527,88886,,,,,,,,,,,,,
,3530,92912,,,,,,,,,,,,,
,3543,91416,,,,,,,,,,,,,
,3545,89623,,,,,,,,,,,,,
,3559,95490,,,,,,,,,,,,,
,3571,94195,,,,,,,,,,,,,
,3595,95885,,,,,,,,,,,,,
,3612,92242,,,,,,,,,,,,,
,3635,93256,,,,,,,,,,,,,
,3643,94708,,,,,,,,,,,,,
,3646,96051,,,,,,,,,,,,,
,3665,96754,,,,,,,,,,,,,
,3671,97441,,,,,,,,,,,,,
,3684,96824,,,,,,,,,,,,,
,3692,101601,,,,,,,,,,,,,
,3693,97594,,,,,,,,,,,,,
,3699,99184,,,,,,,,,,,,,
,3703,94481,,,,,,,,,,,,,
,3703,95857,,,,,,,,,,,,,
,3709,100955,,,,,,,,,,,,,
,3709,98073,,,,,,,,,,,,,
,3711,98077,,,,,,,,,,,,,
,3720,99244,,,,,,,,,,,,,
,3726,102853,,,,,,,,,,,,,
,3737,99599,,,,,,,,,,,,,
,3737,102443,,,,,,,,,,,,,
,3751,101413,,,,,,,,,,,,,
,3752,103469,,,,,,,,,,,,,
,3756,100906,,,,,,,,,,,,,
,3758,98042,,,,,,,,,,,,,
,3781,103013,,,,,,,,,,,,,
,3786,105221,,,,,,,,,,,,,
,3821,103121,,,,,,,,,,,,,
,3854,102690,,,,,,,,,,,,,
,3869,105196,,,,,,,,,,,,,
,3869,107680,,,,,,,,,,,,,
,3876,106274,,,,,,,,,,,,,
,3894,110987,,,,,,,,,,,,,
,3896,109937,,,,,,,,,,,,,
,3908,105771,,,,,,,,,,,,,
,3919,107916,,,,,,,,,,,,,
,3941,115349,,,,,,,,,,,,,
,3968,109173,,,,,,,,,,,,,
,3985,110264,,,,,,,,,,,,,
,4028,115299,,,,,,,,,,,,,
,4041,120253,,,,,,,,,,,,,
,4045,118725,,,,,,,,,,,,,
,4067,115802,,,,,,,,,,,,,
,4071,122508,,,,,,,,,,,,,
,4075,112529,,,,,,,,,,,,,
,4075,119397,,,,,,,,,,,,,
,4082,115918,,,,,,,,,,,,,
,4083,112126,,,,,,,,,,,,,
,4084,118281,,,,,,,,,,,,,
,4091,116778,,,,,,,,,,,,,
,4116,118490,,,,,,,,,,,,,
,4121,116769,,,,,,,,,,,,,
,4125,121599,,,,,,,,,,,,,
,4127,116509,,,,,,,,,,,,,
,4136,117320,,,,,,,,,,,,,
,4145,122386,,,,,,,,,,,,,
,4146,116404,,,,,,,,,,,,,
,4151,118956,,,,,,,,,,,,,
,4165,120243,,,,,,,,,,,,,
,4165,125755,,,,,,,,,,,,,
,4172,124830,,,,,,,,,,,,,
,4175,123112,,,,,,,,,,,,,
,4183,122373,,,,,,,,,,,,,
,4207,124484,,,,,,,,,,,,,
,4209,121077,,,,,,,,,,,,,
,4212,123812,,,,,,,,,,,,,
,4216,122936,,,,,,,,,,,,,
,4229,120454,,,,,,,,,,,,,
,4238,127088,,,,,,,,,,,,,
,4239,125386,,,,,,,,,,,,,
,4239,130327,,,,,,,,,,,,,
,4245,123081,,,,,,,,,,,,,
,4249,122322,,,,,,,,,,,,,
,4251,121465,,,,,,,,,,,,,
,4267,125435,,,,,,,,,,,,,
,4290,128231,,,,,,,,,,,,,
,4296,128674,,,,,,,,,,,,,
,4302,131762,,,,,,,,,,,,,
,4319,127696,,,,,,,,,,,,,
,4324,129510,,,,,,,,,,,,,
,4333,126821,,,,,,,,,,,,,
,4335,135570,,,,,,,,,,,,,
,4346,128822,,,,,,,,,,,,,
,4355,133701,,,,,,,,,,,,,
,4363,135093,,,,,,,,,,,,,
,4373,133343,,,,,,,,,,,,,
,4380,131784,,,,,,,,,,,,,
,4387,131440,,,,,,,,,,,,,
,4396,142104,,,,,,,,,,,,,
,4402,129921,,,,,,,,,,,,,
,4408,129693,,,,,,,,,,,,,
,4413,132888,,,,,,,,,,,,,
,4417,132384,,,,,,,,,,,,,
,4427,135809,,,,,,,,,,,,,
,4435,136168,,,,,,,,,,,,,
,4441,146072,,,,,,,,,,,,,
,4464,135882,,,,,,,,,,,,,
,4499,135184,,,,,,,,,,,,,
,4511,139338,,,,,,,,,,,,,
,4519,139532,,,,,,,,,,,,,
,4523,135951,,,,,,,,,,,,,
,4526,143028,,,,,,,,,,,,,
,4534,138225,,,,,,,,,,,,,
,4586,144605,,,,,,,,,,,,,
,4591,140958,,,,,,,,,,,,,
,4594,147326,,,,,,,,,,,,,
,4597,148557,,,,,,,,,,,,,
,4601,142422,,,,,,,,,,,,,
,4613,144434,,,,,,,,,,,,,
,4616,144865,,,,,,,,,,,,,
,4623,151604,,,,,,,,,,,,,
,4632,149791,,,,,,,,,,,,,
,4652,143494,,,,,,,,,,,,,
,4668,151444,,,,,,,,,,,,,
,4670,144651,,,,,,,,,,,,,
,4671,145931,,,,,,,,,,,,,
,4696,149772,,,,,,,,,,,,,
,4700,147671,,,,,,,,,,,,,
,4707,146050,,,,,,,,,,,,,
,4711,152332,,,,,,,,,,,,,
,4739,153569,,,,,,,,,,,,,
,4750,152078,,,,,,,,,,,,,
,4752,155587,,,,,,,,,,,,,
,4754,149272,,,,,,,,,,,,,
,4767,153362,,,,,,,,,,,,,
,4776,155474,,,,,,,,,,,,,
,4788,154914,,,,,,,,,,,,,
,4789,155061,,,,,,,,,,,,,
,4801,156620,,,,,,,,,,,,,
,4805,151603,,,,,,,,,,,,,
,4815,158500,,,,,,,,,,,,,
,4826,162759,,,,,,,,,,,,,
,4829,154333,,,,,,,,,,,,,
,4831,154910,,,,,,,,,,,,,
,4838,160906,,,,,,,,,,,,,
,4856,159457,,,,,,,,,,,,,
,4862,155730,,,,,,,,,,,,,
,4886,159351,,,,,,,,,,,,,
,4891,160592,,,,,,,,,,,,,
,4894,159790,,,,,,,,,,,,,
,4902,165121,,,,,,,,,,,,,
,4915,162393,,,,,,,,,,,,,
,4933,162602,,,,,,,,,,,,,
,4954,163892,,,,,,,,,,,,,
,4971,163607,,,,,,,,,,,,,
,4979,168768,,,,,,,,,,,,,
,4981,160235,,,,,,,,,,,,,
,4996,169256,,,,,,,,,,,,,
,5018,163498,,,,,,,,,,,,,
,5024,171446,,,,,,,,,,,,,
,5036,168189,,,,,,,,,,,,,
,5045,170482,,,,,,,,,,,,,
,5046,169465,,,,,,,,,,,,,
,5048,175804,,,,,,,,,,,,,
,5054,167598,,,,,,,,,,,,,
,5056,168244,,,,,,,,,,,,,
,5056,165488,,,,,,,,,,,,,
,5084,177917,,,,,,,,,,,,,
,5094,174469,,,,,,,,,,,,,
,5112,171884,,,,,,,,,,,,,
,5116,174208,,,,,,,,,,,,,
,5167,174678,,,,,,,,,,,,,
,5177,173844,,,,,,,,,,,,,
,5219,175967,,,,,,,,,,,,,
,5234,179255,,,,,,,,,,,,,
,5242,183277,,,,,,,,,,,,,
,5244,179837,,,,,,,,,,,,,
,5248,181309,,,,,,,,,,,,,
,5268,181767,,,,,,,,,,,,,
,5271,180673,,,,,,,,,,,,,
,5280,179832,,,,,,,,,,,,,
,5280,180672,,,,,,,,,,,,,
,5283,182425,,,,,,,,,,,,,
,5318,179883,,,,,,,,,,,,,
,5327,192006,,,,,,,,,,,,,
,5357,192820,,,,,,,,,,,,,
,5390,187022,,,,,,,,,,,,,
,5402,191581,,,,,,,,,,,,,
,5411,197489,,,,,,,,,,,,,
,5416,192592,,,,,,,,,,,,,
,5417,188270,,,,,,,,,,,,,
,5423,190005,,,,,,,,,,,,,
,5426,196698,,,,,,,,,,,,,
,5426,186668,,,,,,,,,,,,,
,5430,193834,,,,,,,,,,,,,
,5443,192602,,,,,,,,,,,,,
,5446,192013,,,,,,,,,,,,,
,5453,196000,,,,,,,,,,,,,
,5457,189038,,,,,,,,,,,,,
,5481,202146,,,,,,,,,,,,,
,5504,194419,,,,,,,,,,,,,
,5505,198548,,,,,,,,,,,,,
,5524,201472,,,,,,,,,,,,,
,5569,207601,,,,,,,,,,,,,
,5590,202792,,,,,,,,,,,,,
,5593,202339,,,,,,,,,,,,,
,5597,202130,,,,,,,,,,,,,
,5601,204690,,,,,,,,,,,,,
,5603,210585,,,,,,,,,,,,,
,5609,204319,,,,,,,,,,,,,
,5613,207170,,,,,,,,,,,,,
,5615,203471,,,,,,,,,,,,,
,5615,204656,,,,,,,,,,,,,
,5618,207253,,,,,,,,,,,,,
,5618,216751,,,,,,,,,,,,,
,5624,200906,,,,,,,,,,,,,
,5635,203901,,,,,,,,,,,,,
,5639,222728,,,,,,,,,,,,,
,5644,207964,,,,,,,,,,,,,
,5647,216665,,,,,,,,,,,,,
,5651,207668,,,,,,,,,,,,,
,5652,206738,,,,,,,,,,,,,
,5653,204661,,,,,,,,,,,,,
,5661,201424,,,,,,,,,,,,,
,5670,207765,,,,,,,,,,,,,
,5701,209051,,,,,,,,,,,,,
,5704,219995,,,,,,,,,,,,,
,5707,208697,,,,,,,,,,,,,
,5723,209293,,,,,,,,,,,,,
,5726,212759,,,,,,,,,,,,,
,5760,211404,,,,,,,,,,,,,
,5761,208756,,,,,,,,,,,,,
,5763,214877,,,,,,,,,,,,,
,5768,213026,,,,,,,,,,,,,
,5773,212992,,,,,,,,,,,,,
,5775,212166,,,,,,,,,,,,,
,5778,218149,,,,,,,,,,,,,
,5821,215957,,,,,,,,,,,,,
,5831,217562,,,,,,,,,,,,,
,5833,219312,,,,,,,,,,,,,
,5834,219622,,,,,,,,,,,,,
,5838,223636,,,,,,,,,,,,,
,5857,213902,,,,,,,,,,,,,
,5878,217713,,,,,,,,,,,,,
,5890,228795,,,,,,,,,,,,,
,5893,225826,,,,,,,,,,,,,
,5897,218951,,,,,,,,,,,,,
,5904,225411,,,,,,,,,,,,,
,5905,223261,,,,,,,,,,,,,
,5913,222267,,,,,,,,,,,,,
,5926,227271,,,,,,,,,,,,,
,5955,228574,,,,,,,,,,,,,
,5963,227125,,,,,,,,,,,,,
,5963,230233,,,,,,,,,,,,,
,5966,233391,,,,,,,,,,,,,
,5970,229713,,,,,,,,,,,,,
,5985,227487,,,,,,,,,,,,,
,5985,232792,,,,,,,,,,,,,
,5997,228439,,,,,,,,,,,,,
,5998,232010,,,,,,,,,,,,,
,6000,228870,,,,,,,,,,,,,
,6002,230672,,,,,,,,,,,,,
,6008,231342,,,,,,,,,,,,,
,6009,226129,,,,,,,,,,,,,
,6023,229787,,,,,,,,,,,,,
,6027,234340,,,,,,,,,,,,,
,6028,232300,,,,,,,,,,,,,
,6028,228935,,,,,,,,,,,,,
,6030,237222,,,,,,,,,,,,,
,6049,233442,,,,,,,,,,,,,
,6050,240012,,,,,,,,,,,,,
,6064,230975,,,,,,,,,,,,,
,6066,242143,,,,,,,,,,,,,
,6090,237710,,,,,,,,,,,,,
,6095,239638,,,,,,,,,,,,,
,6100,237798,,,,,,,,,,,,,
,6109,238358,,,,,,,,,,,,,
,6142,239298,,,,,,,,,,,,,
,6197,245912,,,,,,,,,,,,,
,6204,249451,,,,,,,,,,,,,
,6204,241793,,,,,,,,,,,,,
,6219,243111,,,,,,,,,,,,,
,6225,241055,,,,,,,,,,,,,
,6237,247067,,,,,,,,,,,,,
,6243,242308,,,,,,,,,,,,,
,6246,248355,,,,,,,,,,,,,
,6257,247911,,,,,,,,,,,,,
,6273,246588,,,,,,,,,,,,,
,6295,251045,,,,,,,,,,,,,
,6306,251825,,,,,,,,,,,,,
,6306,243827,,,,,,,,,,,,,
,6324,252631,,,,,,,,,,,,,
,6324,247799,,,,,,,,,,,,,
,6331,252992,,,,,,,,,,,,,
,6336,250607,,,,,,,,,,,,,
,6341,256530,,,,,,,,,,,,,
,6354,262179,,,,,,,,,,,,,
,6374,255214,,,,,,,,,,,,,
,6376,262981,,,,,,,,,,,,,
,6381,254491,,,,,,,,,,,,,
,6383,261879,,,,,,,,,,,,,
,6391,261785,,,,,,,,,,,,,
,6409,255760,,,,,,,,,,,,,
,6409,261161,,,,,,,,,,,,,
,6415,259285,,,,,,,,,,,,,
,6419,261976,,,,,,,,,,,,,
,6422,265812,,,,,,,,,,,,,
,6425,256079,,,,,,,,,,,,,
,6425,253911,,,,,,,,,,,,,
,6426,260071,,,,,,,,,,,,,
,6427,262449,,,,,,,,,,,,,
,6434,261057,,,,,,,,,,,,,
,6441,270695,,,,,,,,,,,,,
,6459,265741,,,,,,,,,,,,,
,6474,257370,,,,,,,,,,,,,
,6479,264006,,,,,,,,,,,,,
,6485,259022,,,,,,,,,,,,,
,6488,267479,,,,,,,,,,,,,
,6495,269315,,,,,,,,,,,,,
,6499,265749,,,,,,,,,,,,,
,6507,267051,,,,,,,,,,,,,
,6515,266704,,,,,,,,,,,,,
,6516,263147,,,,,,,,,,,,,
,6528,264741,,,,,,,,,,,,,
,6533,269199,,,,,,,,,,,,,
,6537,263265,,,,,,,,,,,,,
,6538,265824,,,,,,,,,,,,,
,6546,267932,,,,,,,,,,,,,
,6549,266690,,,,,,,,,,,,,
,6560,263790,,,,,,,,,,,,,
,6566,265827,,,,,,,,,,,,,
,6598,276988,,,,,,,,,,,,,
,6605,283332,,,,,,,,,,,,,
,6633,273389,,,,,,,,,,,,,
,6652,286434,,,,,,,,,,,,,
,6656,275768,,,,,,,,,,,,,
,6669,278889,,,,,,,,,,,,,
,6681,278648,,,,,,,,,,,,,
,6683,274974,,,,,,,,,,,,,
,6686,277125,,,,,,,,,,,,,
,6691,288463,,,,,,,,,,,,,
,6703,274410,,,,,,,,,,,,,
,6705,274998,,,,,,,,,,,,,
,6710,275947,,,,,,,,,,,,,
,6732,279492,,,,,,,,,,,,,
,6734,287977,,,,,,,,,,,,,
,6742,288461,,,,,,,,,,,,,
,6751,278240,,,,,,,,,,,,,
,6751,282859,,,,,,,,,,,,,
,6757,280211,,,,,,,,,,,,,
,6763,292718,,,,,,,,,,,,,
,6784,283676,,,,,,,,,,,,,
,6790,291472,,,,,,,,,,,,,
,6808,286663,,,,,,,,,,,,,
,6809,293938,,,,,,,,,,,,,
,6812,284375,,,,,,,,,,,,,
,6816,288490,,,,,,,,,,,,,
,6828,288258,,,,,,,,,,,,,
,6835,298916,,,,,,,,,,,,,
,6836,295642,,,,,,,,,,,,,
,6852,287318,,,,,,,,,,,,,
,6869,288357,,,,,,,,,,,,,
,6886,297180,,,,,,,,,,,,,
,6890,294620,,,,,,,,,,,,,
,6895,290499,,,,,,,,,,,,,
,6906,292145,,,,,,,,,,,,,
,6909,297565,,,,,,,,,,,,,
,6925,299583,,,,,,,,,,,,,
,6931,298399,,,,,,,,,,,,,
,6972,299756,,,,,,,,,,,,,
,6994,299493,,,,,,,,,,,,,
,7013,311586,,,,,,,,,,,,,
,7018,301030,,,,,,,,,,,,,
,7018,309825,,,,,,,,,,,,,
,7026,300471,,,,,,,,,,,,,
,7037,300839,,,,,,,,,,,,,
,7045,306360,,,,,,,,,,,,,
,7049,301448,,,,,,,,,,,,,
,7061,314529,,,,,,,,,,,,,
,7071,315401,,,,,,,,,,,,,
,7086,308581,,,,,,,,,,,,,
,7093,304671,,,,,,,,,,,,,
,7095,316395,,,,,,,,,,,,,
,7099,311661,,,,,,,,,,,,,
,7110,312058,,,,,,,,,,,,,
,7110,311251,,,,,,,,,,,,,
,7135,306601,,,,,,,,,,,,,
,7140,311583,,,,,,,,,,,,,
,7152,313912,,,,,,,,,,,,,
,7199,320355,,,,,,,,,,,,,
,7199,325900,,,,,,,,,,,,,
,7202,316946,,,,,,,,,,,,,
,7211,325185,,,,,,,,,,,,,
,7217,326029,,,,,,,,,,,,,
,7266,320357,,,,,,,,,,,,,
,7280,322778,,,,,,,,,,,,,
,7282,322825,,,,,,,,,,,,,
,7290,324390,,,,,,,,,,,,,
,7345,331905,,,,,,,,,,,,,
,7354,328477,,,,,,,,,,,,,
,7359,331822,,,,,,,,,,,,,
,7364,326599,,,,,,,,,,,,,
,7387,332212,,,,,,,,,,,,,
,7424,330653,,,,,,,,,,,,,
,7435,338041,,,,,,,,,,,,,
,7454,332541,,,,,,,,,,,,,
,7455,342905,,,,,,,,,,,,,
,7459,341801,,,,,,,,,,,,,
,7472,339259,,,,,,,,,,,,,
,7475,340417,,,,,,,,,,,,,
,7480,338218,,,,,,,,,,,,,
,7493,343145,,,,,,,,,,,,,
,7495,339067,,,,,,,,,,,,,
,7496,346522,,,,,,,,,,,,,
,7524,341448,,,,,,,,,,,,,
,7528,344472,,,,,,,,,,,,,
,7530,345958,,,,,,,,,,,,,
,7541,351573,,,,,,,,,,,,,
,7610,348213,,,,,,,,,,,,,
,7618,354492,,,,,,,,,,,,,
,7633,354628,,,,,,,,,,,,,
,7651,355493,,,,,,,,,,,,,
,7667,352333,,,,,,,,,,,,,
,7669,348800,,,,,,,,,,,,,
,7673,359880,,,,,,,,,,,,,
,7684,362535,,,,,,,,,,,,,
,7688,361618,,,,,,,,,,,,,
,7692,357281,,,,,,,,,,,,,
,7705,368392,,,,,,,,,,,,,
,7713,380699,,,,,,,,,,,,,
,7720,358553,,,,,,,,,,,,,
,7726,358162,,,,,,,,,,,,,
,7757,368964,,,,,,,,,,,,,
,7757,365052,,,,,,,,,,,,,
,7759,365032,,,,,,,,,,,,,
,7759,369355,,,,,,,,,,,,,
,7769,359455,,,,,,,,,,,,,
,7775,366193,,,,,,,,,,,,,
,7790,373244,,,,,,,,,,,,,
,7806,373588,,,,,,,,,,,,,
,7809,368482,,,,,,,,,,,,,
,7827,372623,,,,,,,,,,,,,
,7858,374162,,,,,,,,,,,,,
,7886,372176,,,,,,,,,,,,,
,7906,373138,,,,,,,,,,,,,
,7924,377461,,,,,,,,,,,,,
,7934,382882,,,,,,,,,,,,,
,7937,379485,,,,,,,,,,,,,
,7955,392800,,,,,,,,,,,,,
,7956,383387,,,,,,,,,,,,,
,7967,387351,,,,,,,,,,,,,
,7974,392479,,,,,,,,,,,,,
,7997,379418,,,,,,,,,,,,,
,8013,378163,,,,,,,,,,,,,
,8018,379974,,,,,,,,,,,,,
,8024,389077,,,,,,,,,,,,,
,8027,397105,,,,,,,,,,,,,
,8053,391632,,,,,,,,,,,,,
,8061,388838,,,,,,,,,,,,,
,8062,386574,,,,,,,,,,,,,
,8063,385598,,,,,,,,,,,,,
,8072,394298,,,,,,,,,,,,,
,8077,391851,,,,,,,,,,,,,
,8078,396413,,,,,,,,,,,,,
,8079,407411,,,,,,,,,,,,,
,8106,387470,,,,,,,,,,,,,
,8121,402025,,,,,,,,,,,,,
,8122,395696,,,,,,,,,,,,,
,8123,409889,,,,,,,,,,,,,
,8125,395718,,,,,,,,,,,,,
,8130,397272,,,,,,,,,,,,,
,8136,395313,,,,,,,,,,,,,
,8149,393122,,,,,,,,,,,,,
,8176,399898,,,,,,,,,,,,,
,8186,400548,,,,,,,,,,,,,
,8192,396962,,,,,,,,,,,,,
,8193,404841,,,,,,,,,,,,,
,8204,401853,,,,,,,,,,,,,
,8225,407406,,,,,,,,,,,,,
,8244,412784,,,,,,,,,,,,,
,8281,413396,,,,,,,,,,,,,
,8300,416680,,,,,,,,,,,,,
,8300,415805,,,,,,,,,,,,,
,8311,411108,,,,,,,,,,,,,
,8326,415562,,,,,,,,,,,,,
,8333,412591,,,,,,,,,,,,,
,8350,417165,,,,,,,,,,,,,
,8355,426409,,,,,,,,,,,,,
,8356,413160,,,,,,,,,,,,,
,8362,414101,,,,,,,,,,,,,
,8388,429339,,,,,,,,,,,,,
,8394,422194,,,,,,,,,,,,,
,8433,420784,,,,,,,,,,,,,
,8434,431729,,,,,,,,,,,,,
,8437,417681,,,,,,,,,,,,,
,8468,421870,,,,,,,,,,,,,
,8470,427779,,,,,,,,,,,,,
,8473,435054,,,,,,,,,,,,,
,8488,432630,,,,,,,,,,,,,
,8492,432275,,,,,,,,,,,,,
,8494,427677,,,,,,,,,,,,,
,8498,425562,,,,,,,,,,,,,
,8536,430213,,,,,,,,,,,,,
,8551,436062,,,,,,,,,,,,,
,8556,442438,,,,,,,,,,,,,
,8561,437705,,,,,,,,,,,,,
,8563,435448,,,,,,,,,,,,,
,8567,440044,,,,,,,,,,,,,
,8572,435865,,,,,,,,,,,,,
,8584,443519,,,,,,,,,,,,,
,8590,434918,,,,,,,,,,,,,
,8593,443096,,,,,,,,,,,,,
,8608,445762,,,,,,,,,,,,,
,8609,436607,,,,,,,,,,,,,
,8647,436316,,,,,,,,,,,,,
,8653,456985,,,,,,,,,,,,,
,8655,447920,,,,,,,,,,,,,
,8689,460978,,,,,,,,,,,,,
,8693,440014,,,,,,,,,,,,,
,8706,446009,,,,,,,,,,,,,
,8736,466661,,,,,,,,,,,,,
,8739,452308,,,,,,,,,,,,,
,8741,453917,,,,,,,,,,,,,
,8745,449211,,,,,,,,,,,,,
,8747,450832,,,,,,,,,,,,,
,8748,452067,,,,,,,,,,,,,
,8775,457586,,,,,,,,,,,,,
,8785,461452,,,,,,,,,,,,,
,8802,460176,,,,,,,,,,,,,
,8802,456552,,,,,,,,,,,,,
,8808,457620,,,,,,,,,,,,,
,8818,473664,,,,,,,,,,,,,
,8835,466402,,,,,,,,,,,,,
,8845,461193,,,,,,,,,,,,,
,8847,456997,,,,,,,,,,,,,
,8867,463128,,,,,,,,,,,,,
,8922,469015,,,,,,,,,,,,,
,8927,468412,,,,,,,,,,,,,
,8930,470704,,,,,,,,,,,,,
,8930,470933,,,,,,,,,,,,,
,8963,480120,,,,,,,,,,,,,
,8967,477027,,,,,,,,,,,,,
,8970,480413,,,,,,,,,,,,,
,8978,483809,,,,,,,,,,,,,
,8987,469607,,,,,,,,,,,,,
,8991,474458,,,,,,,,,,,,,
,9002,479747,,,,,,,,,,,,,
,9014,469215,,,,,,,,,,,,,
,9039,479196,,,,,,,,,,,,,
,9045,487589,,,,,,,,,,,,,
,9046,482591,,,,,,,,,,,,,
,9061,481366,,,,,,,,,,,,,
,9076,480513,,,,,,,,,,,,,
,9105,490423,,,,,,,,,,,,,
,9105,493002,,,,,,,,,,,,,
,9112,490341,,,,,,,,,,,,,
,9113,487391,,,,,,,,,,,,,
,9116,489447,,,,,,,,,,,,,
,9124,488973,,,,,,,,,,,,,
,9125,491341,,,,,,,,,,,,,
,9145,494763,,,,,,,,,,,,,
,9173,508761,,,,,,,,,,,,,
,9179,490060,,,,,,,,,,,,,
,9181,494539,,,,,,,,,,,,,
,9184,499272,,,,,,,,,,,,,
,9188,499047,,,,,,,,,,,,,
,9209,495343,,,,,,,,,,,,,
,9224,496584,,,,,,,,,,,,,
,9232,496778,,,,,,,,,,,,,
,9233,506626,,,,,,,,,,,,,
,9255,509465,,,,,,,,,,,,,
,9267,517136,,,,,,,,,,,,,
,9283,503910,,,,,,,,,,,,,
,9291,499911,,,,,,,,,,,,,
,9302,505144,,,,,,,,,,,,,
,9302,507945,,,,,,,,,,,,,
,9306,508441,,,,,,,,,,,,,
,9307,512350,,,,,,,,,,,,,
,9316,505928,,,,,,,,,,,,,
,9364,511556,,,,,,,,,,,,,
,9367,518478,,,,,,,,,,,,,
,9374,514124,,,,,,,,,,,,,
,9393,522813,,,,,,,,,,,,,
,9399,519214,,,,,,,,,,,,,
,9413,522117,,,,,,,,,,,,,
,9416,518329,,,,,,,,,,,,,
,9420,527420,,,,,,,,,,,,,
,9421,515290,,,,,,,,,,,,,
,9423,520443,,,,,,,,,,,,,
,9435,516440,,,,,,,,,,,,,
,9447,529995,,,,,,,,,,,,,
,9451,525175,,,,,,,,,,,,,
,9464,525514,,,,,,,,,,,,,
,9469,525648,,,,,,,,,,,,,
,9471,528947,,,,,,,,,,,,,
,9472,527955,,,,,,,,,,,,,
,9473,523114,,,,,,,,,,,,,
,9475,541692,,,,,,,,,,,,,
,9484,527372,,,,,,,,,,,,,
,9492,525018,,,,,,,,,,,,,
,9500,527203,,,,,,,,,,,,,
,9528,536054,,,,,,,,,,,,,
,9531,541124,,,,,,,,,,,,,
,9541,532425,,,,,,,,,,,,,
,9543,528296,,,,,,,,,,,,,
,9550,536279,,,,,,,,,,,,,
,9551,533182,,,,,,,,,,,,,
,9561,529433,,,,,,,,,,,,,
,9575,535312,,,,,,,,,,,,,
,9578,550316,,,,,,,,,,,,,
,9587,532438,,,,,,,,,,,,,
,9593,542871,,,,,,,,,,,,,
,9593,541844,,,,,,,,,,,,,
,9606,541765,,,,,,,,,,,,,
,9622,530546,,,,,,,,,,,,,
,9636,550682,,,,,,,,,,,,,
,9638,542609,,,,,,,,,,,,,
,9640,545267,,,,,,,,,,,,,
,9658,550299,,,,,,,,,,,,,
,9662,565864,,,,,,,,,,,,,
,9666,549501,,,,,,,,,,,,,
,9667,536485,,,,,,,,,,,,,
,9677,561406,,,,,,,,,,,,,
,9683,545010,,,,,,,,,,,,,
,9692,551613,,,,,,,,,,,,,
,9726,554575,,,,,,,,,,,,,
,9727,546597,,,,,,,,,,,,,
,9732,556624,,,,,,,,,,,,,
,9748,559127,,,,,,,,,,,,,
,9778,560686,,,,,,,,,,,,,
,9800,561022,,,,,,,,,,,,,
,9810,571201,,,,,,,,,,,,,
,9821,565575,,,,,,,,,,,,,
,9837,563860,,,,,,,,,,,,,
,9840,575010,,,,,,,,,,,,,
,9856,563920,,,,,,,,,,,,,
,9865,570027,,,,,,,,,,,,,
,9870,579965,,,,,,,,,,,,,
,9876,575222,,,,,,,,,,,,,
,9926,590782,,,,,,,,,,,,,
,9931,574436,,,,,,,,,,,,,
,9944,589574,,,,,,,,,,,,,
,9947,585008,,,,,,,,,,,,,
,9958,578065,,,,,,,,,,,,,
,9962,572037,,,,,,,,,,,,,
,9965,574604,,,,,,,,,,,,,
,9988,589396,,,,,,,,,,,,,
,9998,581475,,,,,,,,,,,,,
Sort 3,1,0,,,,,,,,,,,,,
,25,65,,,,,,,,,,,,,
,47,104,,,,,,,,,,,,,
,48,156,,,,,,,,,,,,,
,50,140,,,,,,,,,,,,,
,101,371,,,,,,,,,,,,,
,114,383,,,,,,,,,,,,,
,137,509,,,,,,,,,,,,,
,140,632,,,,,,,,,,,,,
,149,615,,,,,,,,,,,,,
,151,522,,,,,,,,,,,,,
,182,727,,,,,,,,,,,,,
,195,1179,,,,,,,,,,,,,
,200,1063,,,,,,,,,,,,,
,216,1046,,,,,,,,,,,,,
,227,1032,,,,,,,,,,,,,
,249,1107,,,,,,,,,,,,,
,253,1103,,,,,,,,,,,,,
,283,1166,,,,,,,,,,,,,
,290,1501,,,,,,,,,,,,,
,300,1224,,,,,,,,,,,,,
,309,1525,,,,,,,,,,,,,
,311,1302,,,,,,,,,,,,,
,319,1446,,,,,,,,,,,,,
,327,1591,,,,,,,,,,,,,
,328,1563,,,,,,,,,,,,,
,331,1684,,,,,,,,,,,,,
,342,1521,,,,,,,,,,,,,
,342,1713,,,,,,,,,,,,,
,346,1677,,,,,,,,,,,,,
,358,1738,,,,,,,,,,,,,
,365,1635,,,,,,,,,,,,,
,375,1778,,,,,,,,,,,,,
,386,2892,,,,,,,,,,,,,
,397,2182,,,,,,,,,,,,,
,400,2219,,,,,,,,,,,,,
,433,2188,,,,,,,,,,,,,
,447,2233,,,,,,,,,,,,,
,453,2991,,,,,,,,,,,,,
