Sort 1,,,,,,,,Data Size,Average Comparisons,,,,Shell Sort,Quick Sort,Insertion Sort
,3193,2473888,,,,,,,,,,,,,
,3202,2532400,,,,,,,,,,,,,
,3219,2583426,,,,,,,,,,,,,
,3222,2546517,,,,,,,,,,,,,
,3240,2560232,,,,,,,,,,,,,
,3244,2564266,,,,,,,,,,,,,
,3250,2637820,,,,,,,,,,,,,
,3258,2582179,,,,,,,,,,,,,
,3269,2652718,,,,,,,,,,,,,
,3273,2658639,,,,,,,,,,,,,
,3300,2623372,,,,,,,,,,,,,
,3304,2718554,,,,,,,,,,,,,
,3322,2690808,,,,,,,,,,,,,
,3334,2746453,,,,,,,,,,,,,
,3337,2758589,,,,,,,,,,,,,
,3338,2726969,,,,,,,,,,,,,
,3344,2755608,,,,,,,,,,,,,
,3359,2794284,,,,,,,,,,,,,
,3361,2777537,,,,,,,,,,,,,
,3384,2798123,,,,,,,,,,,,,
,3401,2860402,,,,,,,,,,,,,
,3403,2854563,,,,,,,,,,,,,
,3405,2859242,,,,,,,,,,,,,
,3429,2895501,,,,,,,,,,,,,
,3438,2907473,,,,,,,,,,,,,
,3444,2922876,,,,,,,,,,,,,
,3447,2932154,,,,,,,,,,,,,
,3448,2970484,,,,,,,,,,,,,
,3451,2952878,,,,,,,,,,,,,
,3454,2936633,,,,,,,,,,,,,
,3458,3001955,,,,,,,,,,,,,
,3467,3007517,,,,,,,,,,,,,
,3480,3029120,,,,,,,,,,,,,
,3497,2978889,,,,,,,,,,,,,
,3497,3013557,,,,,,,,,,,,,
,3505,3089172,,,,,,,,,,,,,
,3513,3055852,,,,,,,,,,,,,
,3536,3118758,,,,,,,,,,,,,
,3540,3124287,,,,,,,,,,,,,
,3558,3121455,,,,,,,,,,,,,
,3564,3163365,,,,,,,,,,,,,
,3601,3151676,,,,,,,,,,,,,
,3618,3203760,,,,,,,,,,,,,
,3621,3296379,,,,,,,,,,,,,
,3636,3294781,,,,,,,,,,,,,
,3638,3210632,,,,,,,,,,,,,
,3645,3247368,,,,,,,,,,,,,
,3645,3263470,,,,,,,,,,,,,
,3647,3326866,,,,,,,,,,,,,
,3655,3274611,,,,,,,,,,,,,
,3658,3250868,,,,,,,,,,,,,
,3674,3392339,,,,,,,,,,,,,
,3684,3323683,,,,,,,,,,,,,
,3687,3383040,,,,,,,,,,,,,
,3693,3321587,,,,,,,,,,,,,
,3699,3404751,,,,,,,,,,,,,
,3708,3451244,,,,,,,,,,,,,
,3726,3402824,,,,,,,,,,,,,
,3731,3427028,,,,,,,,,,,,,
,3744,3571287,,,,,,,,,,,,,
,3751,3464943,,,,,,,,,,,,,
,3762,3454681,,,,,,,,,,,,,
,3765,3484016,,,,,,,,,,,,,
,3770,3473687,,,,,,,,,,,,,
,3776,3557445,,,,,,,,,,,,,
,3789,3565983,,,,,,,,,,,,,
,3794,3615336,,,,,,,,,,,,,
,3797,3550899,,,,,,,,,,,,,
,3804,3523194,,,,,,,,,,,,,
,3822,3614002,,,,,,,,,,,,,
,3823,3617149,,,,,,,,,,,,,
,3845,3725399,,,,,,,,,,,,,
,3849,3731327,,,,,,,,,,,,,
,3859,3730361,,,,,,,,,,,,,
,3869,3707863,,,,,,,,,,,,,
,3917,3760474,,,,,,,,,,,,,
,3917,3805149,,,,,,,,,,,,,
,3923,3732266,,,,,,,,,,,,,
,3932,3810946,,,,,,,,,,,,,
,3989,3846222,,,,,,,,,,,,,
,4009,3947941,,,,,,,,,,,,,
,4027,3991296,,,,,,,,,,,,,
,4027,3939559,,,,,,,,,,,,,
,4035,4033948,,,,,,,,,,,,,
,4057,4033775,,,,,,,,,,,,,
,4076,4119484,,,,,,,,,,,,,
,4101,4119388,,,,,,,,,,,,,
,4104,4166291,,,,,,,,,,,,,
,4107,4253137,,,,,,,,,,,,,
,4112,4121343,,,,,,,,,,,,,
,4118,4188334,,,,,,,,,,,,,
,4122,4224956,,,,,,,,,,,,,
,4127,4241222,,,,,,,,,,,,,
,4132,4245549,,,,,,,,,,,,,
,4139,4230478,,,,,,,,,,,,,
,4158,4327923,,,,,,,,,,,,,
,4162,4260946,,,,,,,,,,,,,
,4166,4305609,,,,,,,,,,,,,
,4185,4337627,,,,,,,,,,,,,
,4204,4318464,,,,,,,,,,,,,
,4212,4401379,,,,,,,,,,,,,
,4228,4523922,,,,,,,,,,,,,
,4235,4490549,,,,,,,,,,,,,
,4240,4412602,,,,,,,,,,,,,
,4241,4513547,,,,,,,,,,,,,
,4245,4445733,,,,,,,,,,,,,
,4265,4525338,,,,,,,,,,,,,
,4270,4492282,,,,,,,,,,,,,
,4279,4474079,,,,,,,,,,,,,
,4283,4546059,,,,,,,,,,,,,
,4298,4569635,,,,,,,,,,,,,
,4299,4528436,,,,,,,,,,,,,
,4303,4608840,,,,,,,,,,,,,
,4305,4608147,,,,,,,,,,,,,
,4319,4564986,,,,,,,,,,,,,
,4321,4693015,,,,,,,,,,,,,
,4329,4720399,,,,,,,,,,,,,
,4344,4726588,,,,,,,,,,,,,
,4350,4714630,,,,,,,,,,,,,
,4355,4827616,,,,,,,,,,,,,
,4359,4764200,,,,,,,,,,,,,
,4360,4665701,,,,,,,,,,,,,
,4364,4740236,,,,,,,,,,,,,
,4371,4731796,,,,,,,,,,,,,
,4373,4685893,,,,,,,,,,,,,
,4376,4721093,,,,,,,,,,,,,
,4377,4754169,,,,,,,,,,,,,
,4381,4773680,,,,,,,,,,,,,
,4385,4786822,,,,,,,,,,,,,
,4404,4794619,,,,,,,,,,,,,
,4404,4879584,,,,,,,,,,,,,
,4411,4787522,,,,,,,,,,,,,
,4420,4859767,,,,,,,,,,,,,
,4422,4856469,,,,,,,,,,,,,
,4425,4777215,,,,,,,,,,,,,
,4469,4947602,,,,,,,,,,,,,
,4483,4977477,,,,,,,,,,,,,
,4491,5007692,,,,,,,,,,,,,
,4492,5012692,,,,,,,,,,,,,
,4516,4997054,,,,,,,,,,,,,
,4547,5000161,,,,,,,,,,,,,
,4567,5144666,,,,,,,,,,,,,
,4568,5146019,,,,,,,,,,,,,
